                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9833109313383193E+000          1.4024474742714019E+000          3.7984253011700966E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260425" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb                   beta_accretion                    eta_accretion                           f_conv                vwind_over_vorbit         angular_momentum_j_orbit               wind_mass_transfer 
                             120          4.7475570405501503E+003          3.8053491820323393E+003          1.5402306638659973E+003          8.4822592136717763E+000          1.1995356109774546E+001          6.3033077699418936E+002          5.3807180411834986E+002         -5.6173506604861112E-001         -1.0000000000000000E+000          1.9833011359760475E+000          1.4024489294161286E+000         -3.9996709448419679E+001         -8.3249076178639427E+000         -9.1532268226592510E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.3947150033092370E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4848438864989169E-001          3.5843786336591956E+053          1.6488985537954212E+039          0.0000000000000000E+000         -1.5817398790419214E+025         -2.2779245055740598E+037          1.6716777988511775E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.9814609760467534E-008          1.9110480717459787E-008          1.4848439687347720E-001          4.0885253918138348E-001          1.0000000000000000E+000          7.3250469220616499E-001          3.5843786336591956E+053         -4.4276687331132784E+016 
                             130          4.9742515885573957E+003          3.8057286923174988E+003          1.5403329221762654E+003          8.4819798668751378E+000          1.1994952817690130E+001          6.3037253212213113E+002          5.3810761650316226E+002         -5.5897900748405438E-001         -1.0000000000000000E+000          1.9833000088434338E+000          1.4024490967712502E+000         -3.9392676042128016E+001         -8.2866327537943434E+000         -9.1149820900142000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.3564348852386185E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4847408713527899E-001          3.5844965166096079E+053          1.6460553231951356E+039          0.0000000000000000E+000         -1.5813697148901080E+025         -2.4878106707144095E+037          1.6709334299022954E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.9297073291556424E-008          1.9108575005157894E-008          1.4847409587685892E-001          4.0883699296680015E-001          1.0000000000000000E+000          7.3252917973837284E-001          3.5844965166096079E+053         -4.8352602390966544E+016 
                             140          5.1942844326403983E+003          3.8060963792719244E+003          1.5404319787118291E+003          8.4817094872147809E+000          1.1994561742663651E+001          6.3041297166264610E+002          5.3814231538620936E+002         -5.5640240254965123E-001         -1.0000000000000000E+000          1.9832988182167983E+000          1.4024492735418312E+000         -3.8837859980921628E+001         -8.2506279420530308E+000         -9.0790064744271284E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.3204249829872321E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4846410605832941E-001          3.5846106081813894E+053          1.6401694438530257E+039          0.0000000000000000E+000         -1.5810107222642043E+025         -2.7028701809003559E+037          1.6671981456620450E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.8820172342583708E-008          1.9106729026221228E-008          1.4846411522047931E-001          4.0882193607117184E-001          1.0000000000000000E+000          7.3255293403569510E-001          3.5846106081813894E+053         -5.2528556792680616E+016 
                             150          5.4075746838703935E+003          3.8064515510051883E+003          1.5405276473547799E+003          8.4814485806170516E+000          1.1994183614526076E+001          6.3045201961036753E+002          5.3817583559369928E+002         -5.5390983548257000E-001         -1.0000000000000000E+000          1.9832975660561858E+000          1.4024494594360226E+000         -3.8313178658895694E+001         -8.2156648786392736E+000         -9.0440715781510210E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.2854570088589732E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4845447739971557E-001          3.5847206941024391E+053          1.6314494395747930E+039          0.0000000000000000E+000         -1.5806640428978792E+025         -2.9294844933350451E+037          1.6607442845081591E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.8370177560694077E-008          1.9104946218802213E-008          1.4845448701855546E-001          4.0880741707360835E-001          1.0000000000000000E+000          7.3257587899203813E-001          3.5847206941024391E+053         -5.6928581837411528E+016 
                             160          5.6139024403862568E+003          3.8067934848064165E+003          1.5406197337777012E+003          8.4811976740893691E+000          1.1993819198191874E+001          6.3048959666025178E+002          5.3820810902679318E+002         -5.5150980352081502E-001         -1.0000000000000000E+000          1.9832962550431981E+000          1.4024496540550091E+000         -3.7822476442106804E+001         -8.1822134836986695E+000         -9.0106472636473463E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.2520008930140634E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4844522080783618E-001          3.5848265512700677E+053          1.6209121900498297E+039          0.0000000000000000E+000         -1.5803303777883211E+025         -3.1640653852488507E+037          1.6525528439023339E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.7947108669801603E-008          1.9103230174338829E-008          1.4844523091228046E-001          4.0879346560206531E-001          1.0000000000000000E+000          7.3259796758295159E-001          3.5848265512700677E+053         -6.1482947524193944E+016 
                             170          5.8139521273328055E+003          3.8071227625648871E+003          1.5407083952099078E+003          8.4809563334749445E+000          1.1993467875067825E+001          6.3052576710484288E+002          5.3823919066286931E+002         -5.4930075682637947E-001         -1.0000000000000000E+000          1.9832948845444904E+000          1.4024498574921920E+000         -3.7364790061790160E+001         -8.1503227769592250E+000         -8.9787826403341455E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.2201056395049665E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4843630555825771E-001          3.5849283623582263E+053          1.6062750583768789E+039          0.0000000000000000E+000         -1.5800086218514356E+025         -3.4051709089042501E+037          1.6403267674659372E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.7552687557204569E-008          1.9101577937412506E-008          1.4843631601945939E-001          4.0878003489634784E-001          1.0000000000000000E+000          7.3261927232528434E-001          3.5849283623582263E+053         -6.6163626742793040E+016 
                             180          6.0087112194548790E+003          3.8074408622613496E+003          1.5407940306292760E+003          8.4807234591760743E+000          1.1993128086938199E+001          6.3056069418694335E+002          5.3826921991771007E+002         -5.4722876056214464E-001         -1.0000000000000000E+000          1.9832934541208156E+000          1.4024500698121676E+000         -3.6948809032791090E+001         -8.1208871858476659E+000         -8.9493721666773212E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1906656703115246E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4842772098136620E-001          3.5850265914387886E+053          1.5914648368478729E+039          0.0000000000000000E+000         -1.5796984017082188E+025         -3.6439899804629226E+037          1.6279047366525179E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.7192523958546195E-008          1.9099982060716410E-008          1.4842773197470799E-001          4.0876710928491444E-001          1.0000000000000000E+000          7.3263981752206198E-001          3.5850265914387886E+053         -7.0799432504185432E+016 
                             190          6.2114640701849130E+003          3.8077692303575031E+003          1.5408824124438588E+003          8.4804833718664394E+000          1.1992776887831756E+001          6.3059673146225691E+002          5.3830022169594940E+002         -5.4506543445436684E-001         -1.0000000000000000E+000          1.9832918581318382E+000          1.4024503066933987E+000         -3.6529933570591432E+001         -8.0905461107127916E+000         -8.9190564504628682E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1603201753078771E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4841905438063141E-001          3.5851278508077773E+053          1.5758647916120064E+039          0.0000000000000000E+000         -1.5793847495423123E+025         -3.9076977350782044E+037          1.6149417689628042E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.6836236466314612E-008          1.9098334948098388E-008          1.4841906853034623E-001          4.0875407331520586E-001          1.0000000000000000E+000          7.3266059503403735E-001          3.5851278508077773E+053         -7.5918128376960656E+016 
                             200          6.4917909648824116E+003          3.8082186104584239E+003          1.5410033331632003E+003          8.4801553516749166E+000          1.1992295457052286E+001          6.3064601834776306E+002          5.3834265428089520E+002         -5.4206851501753606E-001         -1.0000000000000000E+000          1.9832894582234453E+000          1.4024506628698439E+000         -3.5966708376474337E+001         -8.0488519040073143E+000         -8.8773964763756084E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1186200025956268E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4840735592992710E-001          3.5852661736933222E+053          1.5520719209406464E+039          0.0000000000000000E+000         -1.5789605664444065E+025         -4.3014894693104930E+037          1.5950868156337671E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.6365557087782197E-008          1.9096081292895182E-008          1.4840737739838725E-001          4.0873649642301157E-001          1.0000000000000000E+000          7.3268870212781079E-001          3.5852661736933222E+053         -8.3561353686997312E+016 
                             210          6.8545883455491175E+003          3.8087897159632494E+003          1.5411569475280164E+003          8.4797395177416846E+000          1.1991682050911036E+001          6.3070859643110941E+002          5.3839659241128516E+002         -5.3841887475533712E-001         -1.0000000000000000E+000          1.9832859927999043E+000          1.4024511771350052E+000         -3.5283916725665620E+001         -7.9969981382764361E+000         -8.8255866057652650E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0667585877002583E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4839235682252674E-001          3.5854414796989873E+053          1.5129633725697912E+039          0.0000000000000000E+000         -1.5784152036026151E+025         -4.8470489941986847E+037          1.5614338625117937E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.5785251281543438E-008          1.9093217948378875E-008          1.4839238681804806E-001          4.0871398244574175E-001          1.0000000000000000E+000          7.3272484946727756E-001          3.5854414796989873E+053         -9.4148918916666784E+016 
                             220          7.2826569945113561E+003          3.8094444746077484E+003          1.5413329637353231E+003          8.4792644805565107E+000          1.1990976154887308E+001          6.3078024273832546E+002          5.3845845126809240E+002         -5.3422620071014260E-001         -1.0000000000000000E+000          1.9832813283717399E+000          1.4024518692549657E+000         -3.4517133600574105E+001         -7.9363986688326715E+000         -8.7650377232493586E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0061503041034463E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4837507298267699E-001          3.5856416612641074E+053          1.4550571750715675E+039          0.0000000000000000E+000         -1.5777841885005662E+025         -5.5729155688590934E+037          1.5107863307601742E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.5129556037433828E-008          1.9089936249541598E-008          1.4837511260759037E-001          4.0868807935716445E-001          1.0000000000000000E+000          7.3276668878074180E-001          3.5856416612641074E+053         -1.0823412736973010E+017 
                             230          7.7675955600206507E+003          3.8101562923351653E+003          1.5415241753761397E+003          8.4787505367302494E+000          1.1990204807362563E+001          6.3085798913251131E+002          5.3852573136048636E+002         -5.2987418500617212E-001         -1.0000000000000000E+000          1.9832752370683675E+000          1.4024527729877962E+000         -3.3740570326807642E+001         -7.8728985773800728E+000         -8.7015925872681628E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.9426406386986690E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4835629884084936E-001          3.5858581090413175E+053          1.3795397474973565E+039          0.0000000000000000E+000         -1.5770948298115351E+025         -6.4504310754759337E+037          1.4440440582521317E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.4458674171852377E-008          1.9086369845962557E-008          1.4835635010266218E-001          4.0866000671722891E-001          1.0000000000000000E+000          7.3281241443902878E-001          3.5858581090413175E+053         -1.2525911992489627E+017 
