                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9743990636411914E+000          4.9359976591029786E-001          3.0522747004476300E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260316" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          1.4570339784233745E+003          3.0623649873835266E+003          1.1986300166091664E+003          3.9670082072940662E+000          1.5835323349637633E+001          6.0077469051444621E+002          3.2093409592209912E+002         -4.9336542980039388E-001         -1.0000000000000000E+000          1.9703291487607810E+000          4.9359976627086777E-001         -2.7829296414398133E+001         -7.6295580362128934E+000         -2.7854872675661479E+001         -9.8999999999999986E+001         -2.9071969039139780E+001         -7.6295580362128934E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.9523075206167850E-021          1.2960296709394420E+053         -9.7985300736484203E+036          0.0000000000000000E+000         -3.9677117538803222E+024         -9.7985300736444523E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          1.6065148231234577E+003          3.0623720231007269E+003          1.1986313935215805E+003          3.9670082072943305E+000          1.5835300601962077E+001          6.0077523013470397E+002          3.2093458947283904E+002         -5.0438532705558337E-001         -1.0000000000000000E+000          1.9703263183537663E+000          4.9359976627086777E-001         -2.9426341853898691E+001         -7.7865307323482620E+000         -2.9451918115162037E+001         -9.8999999999999986E+001         -3.0669014478640339E+001         -7.7865307323482620E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.1607902780736932E-022          1.2960292979707096E+053         -6.8263606872103738E+036          0.0000000000000000E+000         -3.9676807815887975E+024         -6.8263606872064059E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          1.7593426030248502E+003          3.0623770815036573E+003          1.1986323834662833E+003          3.9670082072944655E+000          1.5835284247329952E+001          6.0077561809984957E+002          3.2093494431611822E+002         -5.1494735387312618E-001         -1.0000000000000000E+000          1.9703242834089318E+000          4.9359976627086777E-001         -3.1081754274900792E+001         -7.9356494328579430E+000         -3.1107330536164138E+001         -9.8999999999999986E+001         -3.2324426899642440E+001         -7.9356494328579430E+000         -9.8999999999999986E+001          1.0000000000000000E+000          6.7347099561300675E-024          1.2960290298212031E+053         -4.8425180523961821E+036          0.0000000000000000E+000         -3.9676585464744065E+024         -4.8425180523922147E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          1.9160286026884608E+003          3.0623808124851530E+003          1.1986331136300898E+003          3.9670082072945401E+000          1.5835272184491377E+001          6.0077590425526125E+002          3.2093520604163336E+002         -5.2503389571555981E-001         -1.0000000000000000E+000          1.9703227824757004E+000          4.9359976627086777E-001         -3.2776925858655915E+001         -8.0753065674740121E+000         -3.2802502119919261E+001         -9.8999999999999986E+001         -3.4019598483397559E+001         -8.0753065674740121E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.8741504328155413E-025          1.2960288320393968E+053         -3.5108691441158224E+036          0.0000000000000000E+000         -3.9676422007654283E+024         -3.5108691441118551E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          2.0752387775589546E+003          3.0623835884909795E+003          1.1986336569021250E+003          3.9670082072945805E+000          1.5835263209250773E+001          6.0077611716666763E+002          3.2093540077626631E+002         -5.3494000103200490E-001         -1.0000000000000000E+000          1.9703216657205753E+000          4.9359976627086777E-001         -3.4540280128163104E+001         -8.2088611851240341E+000         -3.4565856389426450E+001         -9.8999999999999986E+001         -3.5782952752904755E+001         -8.2088611851240341E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.3954646910368417E-027          1.2960286848815692E+053         -2.5814303925425529E+036          0.0000000000000000E+000         -3.9676300408941827E+024         -2.5814303925385852E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          2.2365877884893130E+003          3.0623856816569532E+003          1.1986340665403470E+003          3.9670082072946045E+000          1.5835256441741276E+001          6.0077627770619813E+002          3.2093554761018237E+002         -5.4436313060824681E-001         -1.0000000000000000E+000          1.9703208236650576E+000          4.9359976627086777E-001         -3.6332505899996072E+001         -8.3333432325916217E+000         -3.6358082161259418E+001         -9.8999999999999986E+001         -3.7575178524737723E+001         -8.3333432325916217E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.4462855866803255E-029          1.2960285739215619E+053         -1.9381110975076890E+036          0.0000000000000000E+000         -3.9676209086001781E+024         -1.9381110975037214E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          2.4011914501792048E+003          3.0623872984808372E+003          1.1986343829570428E+003          3.9670082072946187E+000          1.5835251214319687E+001          6.0077640171167275E+002          3.2093566102906078E+002         -5.5345661930541690E-001         -1.0000000000000000E+000          1.9703201732368334E+000          4.9359976627086777E-001         -3.8176917446900305E+001         -8.4511566872910606E+000         -3.8202493708163651E+001         -9.8999999999999986E+001         -3.9419590071641956E+001         -8.4511566872910606E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.7728132097979371E-030          1.2960284882127679E+053         -1.4776291255497062E+036          0.0000000000000000E+000         -3.9676138705031050E+024         -1.4776291255457386E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          2.5679908737977298E+003          3.0623885573176376E+003          1.1986346293146653E+003          3.9670082072946271E+000          1.5835247144324130E+001          6.0077649826059610E+002          3.2093574933542396E+002         -5.6221805172669737E-001         -1.0000000000000000E+000          1.9703196668227378E+000          4.9359976627086777E-001         -4.0076076172717393E+001         -8.5629207721108447E+000         -4.0101652433980739E+001         -9.8999999999999986E+001         -4.1318748797459044E+001         -8.5629207721108447E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.8924665026224060E-032          1.2960284214810986E+053         -1.1423561828565584E+036          0.0000000000000000E+000         -3.9676083951713698E+024         -1.1423561828525908E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          2.7370600462238240E+003          3.0623895522578246E+003          1.1986348240270015E+003          3.9670082072946329E+000          1.5835243927545042E+001          6.0077657456943916E+002          3.2093581912964930E+002         -5.7068133199500071E-001         -1.0000000000000000E+000          1.9703192665711291E+000          4.9359976627086777E-001         -4.2014552760534976E+001         -8.6680552536244893E+000         -4.2040129021798322E+001         -9.8999999999999986E+001         -4.3257225385276620E+001         -8.6680552536244893E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.2454744525495587E-034          1.2960283687387522E+053         -8.9674135007449952E+035          0.0000000000000000E+000         -3.9676040761667288E+024         -8.9674135007053184E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          2.9066090199447167E+003          3.0623903399348033E+003          1.1986349781773763E+003          3.9670082072946347E+000          1.5835241380877655E+001          6.0077663498182187E+002          3.2093587438452818E+002         -5.7881126298305374E-001         -1.0000000000000000E+000          1.9703189496989764E+000          4.9359976627086777E-001         -4.4017010551148267E+001         -8.7687306080816168E+000         -4.4042586812411614E+001         -9.8999999999999986E+001         -4.5259683175889919E+001         -8.7687306080816168E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.3228447042153692E-036          1.2960283269835532E+053         -7.1120033647715095E+035          0.0000000000000000E+000         -3.9676006544650436E+024         -7.1120033647318327E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
