q,R,e_init,age,a,e,spin1,type1,m1,m2,amloss
0.8,503.06122448979596,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606906e+09
 1.24606906e+09 1.24606906e+09]","[1262.76770793 1262.76770793 1262.76770793 ...  877.28043026  877.28043026
  877.27807013]",[0.65       0.65       0.65       ... 0.4392869  0.4392869  0.43928528],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.71691104e-08
 5.71691104e-08 5.71626856e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6        1.6        1.6        ... 1.60000149 1.60000149 1.60000149],"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.7669171e-07
 -4.7669171e-07 -4.7669180e-07]"
0.8,512.2448979591837,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606907e+09
 1.24606907e+09 1.24606907e+09]","[1285.82026244 1285.82026244 1285.82026244 ...  913.6784725   913.6784725
  913.59201462]",[0.65       0.65       0.65       ... 0.45902188 0.45902188 0.45896706],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.67508681e-08
 5.67508681e-08 5.65193121e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6        1.6        1.6        ... 1.60000145 1.60000145 1.60000145],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.79052977e-07
 -4.79052977e-07 -4.79056339e-07]"
0.8,521.4285714285714,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606907e+09
 1.24606907e+09 1.24606907e+09]","[1308.87281695 1308.87281695 1308.87281695 ...  950.11402788  950.11402788
  950.07255329]",[0.65       0.65       0.65       ... 0.47650047 0.47650047 0.4764761 ],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.56140216e-08
 5.56140216e-08 5.55159328e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6        1.6        1.6        ... 1.60000141 1.60000141 1.60000141],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.81171720e-07
 -4.81171720e-07 -4.81173379e-07]"
0.8,530.6122448979593,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606908e+09
 1.24606908e+09 1.24606908e+09]","[1331.92537145 1331.92537145 1331.92537145 ...  986.69484465  986.69484465
  986.65217767]",[0.65       0.65       0.65       ... 0.49216126 0.49216126 0.49213793],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.43157097e-08
 5.43157097e-08 5.42257303e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6        1.6        1.6        ... 1.60000137 1.60000137 1.60000137],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.83083477e-07
 -4.83083477e-07 -4.83085248e-07]"
0.8,539.795918367347,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606908e+09
 1.24606908e+09 1.24606908e+09]","[1354.97792596 1354.97792596 1354.97792596 ... 1023.4554655  1023.4554655
 1023.36373225]",[0.65       0.65       0.65       ... 0.50632674 0.50632674 0.50627992],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.28915278e-08
 5.28915278e-08 5.27217619e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6        1.6        1.6        ... 1.60000134 1.60000134 1.60000134],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.84879372e-07
 -4.84879372e-07 -4.84883308e-07]"
0.8,548.9795918367347,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606909e+09
 1.24606909e+09 1.24606909e+09]","[1378.03048046 1378.03048046 1378.03048046 ... 1060.19282097 1060.19282097
 1060.12025503]",[0.65       0.65       0.65       ... 0.5191092  0.5191092  0.51907451],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.11618405e-08
 5.11618405e-08 5.10506362e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6       1.6       1.6       ... 1.6000013 1.6000013 1.6000013],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.86669332e-07
 -4.86669332e-07 -4.86672542e-07]"
0.8,558.1632653061224,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606910e+09
 1.24606910e+09 1.24606910e+09]","[1401.08303497 1401.08303497 1401.08303497 ... 1097.14121349 1097.14121349
 1097.04086124]",[0.65       0.65       0.65       ... 0.53084056 0.53084056 0.53079548],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.94022970e-08
 4.94022970e-08 4.92772149e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993871 1.99993871 1.99993871],[1.6        1.6        1.6        ... 1.60000127 1.60000127 1.60000127],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.88413274e-07
 -4.88413274e-07 -4.88417875e-07]"
0.8,567.3469387755102,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606911e+09
 1.24606911e+09 1.24606911e+09]","[1424.13558947 1424.13558947 1424.13558947 ... 1134.02793814 1134.02793814
 1133.99204679]",[0.65       0.65       0.65       ... 0.54152425 0.54152425 0.54150906],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.74669331e-08
 4.74669331e-08 4.74334512e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993871 1.99993871 1.99993871],[1.6        1.6        1.6        ... 1.60000124 1.60000124 1.60000124],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.90062817e-07
 -4.90062817e-07 -4.90064529e-07]"
0.8,576.5306122448981,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606912e+09
 1.24606912e+09 1.24606912e+09]","[1447.18814398 1447.18814398 1447.18814398 ... 1170.43047382 1170.43047382
 1170.37352433]",[0.65      0.65      0.65      ... 0.5510475 0.5510475 0.5510247],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.55699174e-08
 4.55699174e-08 4.55318300e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993871 1.99993871 1.99993871],[1.6       1.6       1.6       ... 1.6000012 1.6000012 1.6000012],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.91697627e-07
 -4.91697627e-07 -4.91700475e-07]"
0.8,585.7142857142858,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606914e+09
 1.24606914e+09 1.24606914e+09]","[1470.24069849 1470.24069849 1470.24069849 ... 1206.07318576 1206.07318576
 1206.05233622]",[0.65       0.65       0.65       ... 0.55945967 0.55945967 0.55945174],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.36398973e-08
 4.36398973e-08 4.36315159e-08]",[1 1 1 ... 6 6 6],[2.        2.        2.        ... 1.9999387 1.9999387 1.9999387],[1.6        1.6        1.6        ... 1.60000118 1.60000118 1.60000118],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.93332367e-07
 -4.93332367e-07 -4.93333468e-07]"
