                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9984167041696339E+000          8.0013373770168950E-001          2.0471574661823470E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260503" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb                   beta_accretion                    eta_accretion                           f_conv                vwind_over_vorbit         angular_momentum_j_orbit               wind_mass_transfer 
                             100          5.1118781147543250E+003          2.0702073742107559E+003          9.6329204513723869E+002          6.7307287143243313E+000          1.6810669402579293E+001          4.4291001171894766E+002          2.9200054332357308E+002         -4.6561025254372412E-001         -1.0000000000000000E+000          1.9984146398687415E+000          8.0013391957056013E-001         -3.0680878200356414E+001         -9.1375643790730567E+000         -1.0193830532821318E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.1774973538703843E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7848398025415816E-002          1.7923943927800884E+053          4.0642105203042635E+039          0.0000000000000000E+000         -2.4568221404212182E+025         -1.6812761467180088E+036          4.0658917964510063E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.0516346722616372E-008          3.5127907026297252E-008          8.7848399294504886E-002          2.5452584149247309E-001          1.0000000000000000E+000          6.3716125126567913E-001          1.7923943927800884E+053         -4.0324724639170410E+015 
                             110          5.4164586087391572E+003          2.0715438932180391E+003          9.6370657509721207E+002          6.7292814008637212E+000          1.6807052221373723E+001          4.4310059547704606E+002          2.9212620949233752E+002         -4.6195428207105022E-001         -1.0000000000000000E+000          1.9984144086837152E+000          8.0013393987504566E-001         -3.0106859449190463E+001         -9.1053326201153020E+000         -1.0161780706067177E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.1452480772289828E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7811604775374044E-002          1.7927799142213231E+053          3.9650196813201690E+039          0.0000000000000000E+000         -2.4531033055359880E+025         -1.8108605504530337E+036          3.9668305418706464E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.9328891577043524E-008          3.5105243197845235E-008          8.7811606096725808E-002          2.5446883917204183E-001          1.0000000000000000E+000          6.3729915419074257E-001          1.7927799142213231E+053         -4.3413143842365820E+015 
                             120          5.7118242502140602E+003          2.0728062568233431E+003          9.6409802103485731E+002          6.7279155827979542E+000          1.6803638484360910E+001          4.4328056496264628E+002          2.9224487870971075E+002         -4.5853055866209858E-001         -1.0000000000000000E+000          1.9984141677586020E+000          8.0013396102639767E-001         -2.9579366739761557E+001         -9.0748799239418201E+000         -1.0131499822888705E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.1147788451033112E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7776872142365334E-002          1.7931438816303491E+053          3.8545042491682107E+039          0.0000000000000000E+000         -2.4495968973336542E+025         -1.9424555549689369E+036          3.8564467047232041E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.8237796993905541E-008          3.5083863688196208E-008          8.7776873512337678E-002          2.5441501893658303E-001          1.0000000000000000E+000          6.3742939926846942E-001          1.7931438816303491E+053         -4.6548117335080390E+015 
                             130          5.9973540988684808E+003          2.0739917205529428E+003          9.6446554631232652E+002          6.7266340273786280E+000          1.6800435115369755E+001          4.4344953556331836E+002          2.9235629731168871E+002         -4.5527695121825523E-001         -1.0000000000000000E+000          1.9984139183002132E+000          8.0013398291853788E-001         -2.9088680691449177E+001         -9.0457499577357048E+000         -1.0102531107517937E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.0856333660106596E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7744287186284589E-002          1.7934855307336762E+053          3.7379948885891542E+039          0.0000000000000000E+000         -2.4463109432340118E+025         -2.0772731260446584E+036          3.7400721617152236E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.7228721260424091E-008          3.5063810258144191E-008          8.7744288607666407E-002          2.5436451780694480E-001          1.0000000000000000E+000          6.3755164956967181E-001          1.7934855307336762E+053         -4.9758907417775190E+015 
                             140          6.2740906302731746E+003          2.0751048334973880E+003          9.6481057468209008E+002          6.7254316282786020E+000          1.6797429362028979E+001          4.4360816190987600E+002          2.9246089687127170E+002         -4.5224776684050694E-001         -1.0000000000000000E+000          1.9984136604286000E+000          8.0013400554089720E-001         -2.8639643959443923E+001         -9.0184333864116635E+000         -1.0075365974984081E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.0583022315007931E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7713696025742832E-002          1.7938061978793297E+053          3.6160559287298437E+039          0.0000000000000000E+000         -2.4432292252852268E+025         -2.2121875370493292E+036          3.6182681162669176E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.6306705412019240E-008          3.5045001578963329E-008          8.7713697488410694E-002          2.5431709916039957E-001          1.0000000000000000E+000          6.3766647256511821E-001          1.7938061978793297E+053         -5.2970731246194070E+015 
                             150          6.5425859869411415E+003          2.0761485447721593E+003          9.6513403222026250E+002          6.7243050320494779E+000          1.6794612851774456E+001          4.4375686981690245E+002          2.9255895809374533E+002         -4.4937672010190749E-001         -1.0000000000000000E+000          1.9984133944414681E+000          8.0013402886736029E-001         -2.8222522732348452E+001         -8.9924631773843284E+000         -1.0049537668447121E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.0323183814013692E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7685040909921949E-002          1.7941067551939936E+053          3.4896391025998032E+039          0.0000000000000000E+000         -2.4403453032122804E+025         -2.3485681351085557E+036          3.4919876707349364E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.5454868685862638E-008          3.5027383926621235E-008          8.7685042417442058E-002          2.5427267521020475E-001          1.0000000000000000E+000          6.3777407626553517E-001          1.7941067551939936E+053         -5.6216561043687260E+015 
                             160          6.8024180280943192E+003          2.0771224202848948E+003          9.6543579539499785E+002          6.7232545528232226E+000          1.6791986381195287E+001          4.4389560254818326E+002          2.9265044347844804E+002         -4.4662618361194600E-001         -1.0000000000000000E+000          1.9984131215167618E+000          8.0013405279470273E-001         -2.7828836757072580E+001         -8.9674201261355826E+000         -1.0024627127702670E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.0072625963416346E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7658290819717918E-002          1.7943870984684130E+053          3.3568167122867206E+039          0.0000000000000000E+000         -2.4376554884996294E+025         -2.4880350267191470E+036          3.3593047473134640E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.4653198845767877E-008          3.5010961056621769E-008          8.7658292356546208E-002          2.5423119934112215E-001          1.0000000000000000E+000          6.3787456901402773E-001          1.7943870984684130E+053         -5.9535336900944420E+015 
                             170          7.0545733210813169E+003          2.0780313607037383E+003          9.6571739268251838E+002          6.7222747644764338E+000          1.6789536396023838E+001          4.4402506286914496E+002          2.9273581635721393E+002         -4.4405143893600746E-001         -1.0000000000000000E+000          1.9984128414659206E+000          8.0013407733959041E-001         -2.7467886727816214E+001         -8.9439191784503134E+000         -1.0001249692497426E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.9837497833591016E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7633364522200136E-002          1.7946486573321336E+053          3.2267285494186816E+039          0.0000000000000000E+000         -2.4351510988846934E+025         -2.6264371144401029E+036          3.2293549865331458E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.3930558505405233E-008          3.4995647102170108E-008          8.7633366098696014E-002          2.5419254706208794E-001          1.0000000000000000E+000          6.3796824864868995E-001          1.7946486573321336E+053         -6.2827857606428560E+015 
                             180          7.2985573821146554E+003          2.0788754566583661E+003          9.6597886113887580E+002          6.7213654429772092E+000          1.6787262351628346E+001          4.4414526789493510E+002          2.9281508789484309E+002         -4.4163334331959936E-001         -1.0000000000000000E+000          1.9984125557511845E+000          8.0013410237404681E-001         -2.7133602283631554E+001         -8.9217948533906757E+000         -9.9792399672629877E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.9616144525088899E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7610243244429134E-002          1.7948914750271976E+053          3.0941026403415088E+039          0.0000000000000000E+000         -2.4328297888446427E+025         -2.7637592198564415E+036          3.0968663995613895E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.3260372569207773E-008          3.4981437648662970E-008          8.7610244869637657E-002          2.5415669045675360E-001          1.0000000000000000E+000          6.3805517882368157E-001          1.7948914750271976E+053         -6.6093990854009400E+015 
                             190          7.5397212431568632E+003          2.0796746723227084E+003          9.6622639200588969E+002          6.7205049814158651E+000          1.6785110226209788E+001          4.4425906399463003E+002          2.9289013508257989E+002         -4.3923622923769007E-001         -1.0000000000000000E+000          1.9984122588646960E+000          8.0013412838072251E-001         -2.6810410739880147E+001         -8.8999242509705638E+000         -9.9574771476299606E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.9397335018883783E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7588502916327804E-002          1.7951213081760454E+053          2.9586424895973648E+039          0.0000000000000000E+000         -2.4306486056162122E+025         -2.9065590297302055E+036          2.9615490486271194E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.2626894492934471E-008          3.4967994337888408E-008          8.7588504704595851E-002          2.5412297315215232E-001          1.0000000000000000E+000          6.3813694839872903E-001          1.7951213081760454E+053         -6.9490397452190700E+015 
