Star, Teff (K),log g,[Fe I/H],e[Fe I/H],[Fe II/H],e[Fe II/H],ξ (km s−1),Source
HD154430      ,4200 ,1.2 ,-0.36 ,0.19 ,-0.36 ,0.18 ,1.5 ,I
HD162806      ,4500 ,1.7 ,-0.26 ,0.17 ,-0.28 ,0.09 ,1.5 ,I
HD168214      ,5300 ,3.2 ,-0.08 ,0.10 ,-0.12 ,0.08 ,1.2 ,I
HD168560      ,4400 ,1.6 ,-0.13 ,0.13 ,-0.13 ,0.16 ,1.4 ,I
HD168791      ,4400 ,1.7 ,-0.23 ,0.17 ,-0.22 ,0.17 ,2.1 ,I
HD176105      ,4500 ,1.6 ,-0.14 ,0.12 ,-0.17 ,0.16 ,1.5 ,I
HD177192      ,4700 ,1.7 ,-0.17 ,0.20 ,-0.19 ,0.16 ,1.6 ,I
HD180996      ,4900 ,2.6 ,+0.06 ,0.15 ,+0.06 ,0.12 ,1.4 ,I
HD182300      ,5000 ,2.7 ,+0.06 ,0.16 ,+0.07 ,0.16 ,1.3 ,I
HD183915      ,4500 ,1.6 ,-0.39 ,0.14 ,-0.38 ,0.11 ,1.5 ,I
HD187308      ,4900 ,2.5 ,-0.08 ,0.11 ,-0.09 ,0.08 ,1.2 ,I
HD193530      ,4400 ,1.6 ,-0.17 ,0.14 ,-0.19 ,0.11 ,1.4 ,I
HD196445      ,4400 ,1.4 ,-0.19 ,0.17 ,-0.20 ,0.13 ,1.5 ,I
HD199435      ,5000 ,2.6 ,-0.39 ,0.12 ,-0.38 ,0.06 ,1.4 ,I
HD200995      ,4600 ,2.1 ,-0.03 ,0.17 ,-0.03 ,0.14 ,1.4 ,I
HD201657      ,4700 ,2.2 ,-0.34 ,0.17 ,-0.35 ,0.17 ,1.6 ,I
HD201824      ,4900 ,2.3 ,-0.33 ,0.17 ,-0.34 ,0.10 ,1.4 ,I
HD204075      ,5300 ,1.5 ,+0.06 ,0.17 ,+0.04 ,0.16 ,2.0 ,I
HD207277      ,4600 ,2.0 ,-0.13 ,0.14 ,-0.12 ,0.15 ,1.4 ,I
HD210709      ,4700 ,2.6 ,-0.10 ,0.14 ,-0.10 ,0.10 ,1.2 ,I
HD210946      ,4800 ,2.1 ,-0.12 ,0.13 ,-0.12 ,0.14 ,1.3 ,I
HD211173      ,4700 ,2.3 ,-0.39 ,0.09 ,-0.37 ,0.09 ,1.1 ,I
HD211594      ,4900 ,2.4 ,-0.43 ,0.14 ,-0.42 ,0.14 ,1.6 ,I
HD211954      ,4400 ,1.7 ,-0.51 ,0.19 ,-0.52 ,0.19 ,1.2 ,I
HD214579      ,4400 ,1.6 ,-0.26 ,0.14 ,-0.24 ,0.22 ,1.6 ,I
HD217143      ,4600 ,2.1 ,-0.35 ,0.17 ,-0.34 ,0.14 ,1.2 ,I
HD217447      ,5000 ,2.5 ,-0.17 ,0.11 ,-0.17 ,0.07 ,1.3 ,I
HD219116      ,4900 ,2.3 ,-0.61 ,0.09 ,-0.62 ,0.09 ,1.6 ,I
HD223586      ,4700 ,2.9 ,-0.08 ,0.11 ,-0.02 ,0.18 ,1.3 ,I
HD223617      ,4700 ,2.3 ,-0.18 ,0.13 ,-0.18 ,0.13 ,1.6 ,I
HD252117      ,4600 ,1.8 ,-0.14 ,0.19 ,-0.15 ,0.18 ,1.5 ,I
HD273845      ,4800 ,2.5 ,-0.15 ,0.16 ,-0.15 ,0.09 ,1.4 ,I
HD288174      ,4800 ,2.3 ,-0.05 ,0.15 ,-0.04 ,0.10 ,1.3 ,I
MFU112        ,4900 ,2.4 ,-0.43 ,0.15 ,-0.48 ,0.19 ,1.6 ,I
BD-18821      ,5000 ,2.3 ,-0.27 ,0.15 ,-0.30 ,0.09 ,1.2 ,II
CD-267844     ,5100 ,2.8 ,+0.02 ,0.11 ,+0.01 ,0.10 ,1.2 ,II
CD-309005     ,4700 ,2.3 ,+0.05 ,0.12 ,+0.07 ,0.11 ,1.4 ,II
CD-346139     ,4900 ,2.2 ,-0.07 ,0.13 ,-0.06 ,0.15 ,1.6 ,II
CD-347430     ,4900 ,2.6 ,+0.01 ,0.14 ,+0.02 ,0.09 ,1.3 ,II
CD-463977     ,4900 ,2.6 ,-0.10 ,0.15 ,-0.08 ,0.09 ,1.4 ,II
HD5322        ,4800 ,1.7 ,-0.18 ,0.13 ,-0.16 ,0.10 ,1.8 ,II
HD18182       ,4900 ,2.4 ,-0.17 ,0.10 ,-0.17 ,0.12 ,1.5 ,II
HD18361       ,4900 ,2.6 ,+0.01 ,0.15 ,+0.03 ,0.13 ,1.5 ,II
HD21682       ,5200 ,2.8 ,-0.48 ,0.12 ,-0.50 ,0.08 ,1.5 ,II
HD21980       ,4800 ,2.0 ,-0.04 ,0.17 ,-0.11 ,0.08 ,1.6 ,II
HD26886       ,5000 ,2.5 ,-0.30 ,0.10 ,-0.32 ,0.08 ,1.4 ,II
HD31812       ,5100 ,2.6 ,-0.07 ,0.11 ,-0.08 ,0.10 ,1.3 ,II
HD33409       ,4800 ,1.9 ,-0.59 ,0.10 ,-0.56 ,0.11 ,1.3 ,II
HD33709       ,5000 ,2.1 ,-0.20 ,0.14 ,-0.19 ,0.07 ,1.6 ,II
HD39778       ,5000 ,2.5 ,-0.12 ,0.12 ,-0.14 ,0.09 ,1.3 ,II
HD41701       ,5000 ,2.6 ,+0.02 ,0.13 ,+0.04 ,0.12 ,1.2 ,II
HD42700       ,4800 ,2.2 ,-0.25 ,0.13 ,-0.23 ,0.10 ,1.4 ,II
HD45483       ,4800 ,2.2 ,-0.14 ,0.12 ,-0.14 ,0.12 ,1.3 ,II
HD48814       ,4800 ,2.3 ,-0.07 ,0.11 ,-0.05 ,0.09 ,1.3 ,II
HD49017       ,5100 ,2.8 ,+0.02 ,0.11 , 0.00 ,0.08 ,1.2 ,II
HD49661       ,5000 ,2.4 ,-0.13 ,0.10 ,-0.15 ,0.09 ,1.5 ,II
HD49778       ,5000 ,2.3 ,-0.22 ,0.12 ,-0.20 ,0.09 ,2.1 ,II
HD50075       ,4900 ,2.5 ,-0.16 ,0.11 ,-0.18 ,0.10 ,1.3 ,II
HD50843       ,4700 ,2.3 ,-0.31 ,0.13 ,-0.30 ,0.11 ,1.1 ,II
HD51315       ,4800 ,1.8 ,-0.05 ,0.12 ,-0.03 ,0.12 ,1.7 ,II
HD53199       ,5000 ,2.3 ,-0.23 ,0.13 ,-0.29 ,0.09 ,1.3 ,II
HD58121       ,4600 ,1.8 ,-0.01 ,0.13 , 0.00 ,0.10 ,1.4 ,II
HD62017       ,5000 ,1.8 ,-0.32 ,0.14 ,-0.33 ,0.14 ,1.6 ,II
HD88495       ,4900 ,3.0 ,-0.11 ,0.10 ,-0.06 ,0.13 ,1.1 ,II
HD90167       ,5000 ,2.6 ,-0.04 ,0.11 ,-0.07 ,0.10 ,1.2 ,II
HD95193       ,5000 ,2.7 ,+0.04 ,0.12 ,+0.04 ,0.12 ,1.3 ,II
HD95345       ,4500 ,1.8 ,-0.16 ,0.10 ,-0.18 ,0.10 ,1.4 ,II
HD107270      ,5400 ,2.7 ,+0.05 ,0.17 ,+0.07 ,0.18 ,2.9 ,II
HD109061      ,4700 ,2.0 ,-0.56 ,0.09 ,-0.53 ,0.09 ,1.3 ,II
HD113195      ,4700 ,2.1 ,-0.15 ,0.12 ,-0.13 ,0.08 ,1.3 ,II
HD115277      ,4800 ,2.4 ,-0.03 ,0.15 ,-0.09 ,0.13 ,1.4 ,II
HD119650      ,4500 ,1.6 ,-0.10 ,0.13 ,-0.09 ,0.11 ,1.4 ,II
HD134698      ,4500 ,1.7 ,-0.52 ,0.12 ,-0.53 ,0.14 ,1.7 ,II
HD139266      ,4300 ,1.5 ,-0.27 ,0.18 ,-0.25 ,0.15 ,1.7 ,II
HD139409      ,4700 ,2.1 ,-0.51 ,0.13 ,-0.52 ,0.08 ,1.3 ,II
HD142491      ,4800 ,2.0 ,+0.02 ,0.10 ,+0.01 ,0.10 ,1.5 ,II
HD147136      ,4900 ,2.2 ,-0.01 ,0.15 ,-0.02 ,0.09 ,1.5 ,II
HD148892      ,5000 ,2.3 ,-0.15 ,0.15 ,-0.15 ,0.09 ,1.5 ,II
HD168986      ,4800 ,1.6 ,-0.10 ,0.11 ,-0.12 ,0.09 ,1.7 ,II
HD169106      ,4900 ,2.2 ,+0.01 ,0.12 ,+0.01 ,0.11 ,1.6 ,II
HD174204      ,4900 ,2.1 ,-0.06 ,0.11 ,-0.06 ,0.09 ,1.3 ,II
HD184001      ,5000 ,2.5 ,-0.21 ,0.14 ,-0.20 ,0.11 ,1.6 ,II
HD204886      ,4600 ,2.1 ,+0.04 ,0.15 ,+0.06 ,0.17 ,1.5 ,II
HD212484      ,4800 ,2.1 ,-0.56 ,0.07 ,-0.58 ,0.05 ,1.5 ,II
HD213084      ,5000 ,2.8 ,-0.09 ,0.15 ,-0.09 ,0.11 ,1.5 ,II
HD223938      ,5000 ,2.9 ,-0.42 ,0.11 ,-0.39 ,0.11 ,1.0 ,II
MFU214        ,4800 ,2.4 , 0.00 ,0.12 ,+0.01 ,0.09 ,1.3 ,II
MFU229        ,4900 ,2.6 ,-0.01 ,0.11 ,-0.02 ,0.12 ,1.3 ,II
HD12392       ,4900 ,3.0 ,-0.08 ,0.18 ,-0.06 ,0.09 ,1.1 ,B81
HD17067       ,4200 ,1.1 ,-0.61 ,0.21 ,-0.64 ,0.22 ,2.1 ,B81
HD90127       ,4600 ,2.2 ,-0.40 ,0.10 ,-0.39 ,0.17 ,1.8 ,B81
HD102762      ,4400 ,1.7 ,-0.17 ,0.20 ,-0.16 ,0.17 ,1.6 ,B81
HD114678      ,5200 ,2.8 ,-0.50 ,0.13 ,-0.54 ,0.09 ,1.4 ,B81
HD180622      ,4600 ,2.2 ,+0.03 ,0.12 , 0.00 ,0.10 ,1.4 ,B81
HD200063      ,4100 ,1.1 ,-0.34 ,0.20 ,-0.32 ,0.14 ,1.9 ,B81
HD210030      ,4700 ,1.9 ,-0.03 ,0.11 ,-0.08 ,0.10 ,1.3 ,B81
HD214889      ,4900 ,2.6 ,-0.17 ,0.12 ,-0.14 ,0.10 ,1.4 ,B81
HD215555      ,5200 ,3.2 ,-0.08 ,0.12 ,-0.06 ,0.15 ,1.0 ,B81
HD216809      ,4400 ,1.2 ,-0.04 ,0.14 ,-0.05 ,0.14 ,1.5 ,B81
HD221879      ,4300 ,1.3 ,-0.10 ,0.19 ,-0.11 ,0.15 ,1.6 ,B81
BD-01302      ,4200 ,1.1 ,-0.64 ,0.12 ,-0.64 ,0.20 ,1.3 ,G97
HD749         ,4700 ,2.6 ,-0.29 ,0.15 ,-0.29 ,0.10 ,1.3 ,G97
HD88927       ,4600 ,2.3 ,+0.02 ,0.13 ,+0.04 ,0.15 ,1.1 ,G97
HD211221      ,4800 ,2.3 ,-0.11 ,0.09 ,-0.17 ,0.12 ,1.3 ,G97
BD+092384     ,4900 ,2.5 ,-0.98 ,0.10 ,-0.99 ,0.09 ,1.2 ,LB91
HD89638       ,4900 ,2.4 ,-0.19 ,0.11 ,-0.18 ,0.08 ,1.2 ,LB91
HD187762      ,4800 ,2.4 ,-0.30 ,0.11 ,-0.30 ,0.10 ,1.4 ,M97
