                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9986325976443591E+000          1.5989060781154874E+000          2.7645235194116240E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260329" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb 
                              10          4.6212869998464407E+002          2.7632700892561984E+003          1.2697378142705493E+003          1.0332839508149467E+001          1.2914799152501239E+001          5.0582718515039426E+002          4.5682695906525311E+002         -3.8152153504662051E-001         -1.0000000000000000E+000          1.9984391367579379E+000          1.5989060784522762E+000         -1.8247332948810492E+001         -7.4703850427867655E+000         -1.8272909210045619E+001         -9.8999999999999986E+001         -1.9490005574017374E+001         -7.4703850427940246E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.5757083365945642E-011          3.6270419396278223E+053          9.2235165972691609E+039          0.0000000000000000E+000         -4.2302998587395062E+025         -8.6537754181983360E+037          9.3100543514511862E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.1920324469319391E-008          2.6317388390363721E-008 
                              11          4.8536213996222125E+002          2.7634315709799316E+003          1.2697871966393307E+003          1.0332639619949624E+001          1.2914544649196424E+001          5.0584681739016412E+002          4.5684476488588206E+002         -3.8436851717373327E-001         -1.0000000000000000E+000          1.9984384145340153E+000          1.5989060784522762E+000         -1.8510349204331458E+001         -7.5074416470154395E+000         -1.8535925465566585E+001         -9.8999999999999986E+001         -1.9753021829538341E+001         -7.5074416470197542E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.3651811312521996E-012          3.6271115232911702E+053          9.4905155531055172E+039          0.0000000000000000E+000         -4.2297574402514890E+025         -7.9461552987948796E+037          9.5699771060935079E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.2240654145090086E-008          2.6315850528060176E-008 
                              12          5.0966836556487522E+002          2.7636038811803942E+003          1.2698398979145879E+003          1.0332426206045758E+001          1.2914273396860024E+001          5.0586777313268266E+002          4.5686376348167579E+002         -3.8718426752219759E-001         -1.0000000000000000E+000          1.9984377164921774E+000          1.5989060784522762E+000         -1.8760237458763061E+001         -7.5418360712848180E+000         -1.8785813719998185E+001         -9.8999999999999986E+001         -2.0002910083969944E+001         -7.5418360712874444E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.7019361696171941E-012          3.6271858773306259E+053          9.6935549357274574E+039          0.0000000000000000E+000         -4.2291783290516529E+025         -7.3412699552874584E+037          9.7669676352803740E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.2557658663844850E-008          2.6314209739555458E-008 
                              13          5.3504509122261277E+002          2.7637869326017712E+003          1.2698958911287302E+003          1.0332199379061537E+001          1.2913985534477934E+001          5.0589004161926704E+002          4.5688394516529314E+002         -3.8990258806119266E-001         -1.0000000000000000E+000          1.9984370423557385E+000          1.5989060784522762E+000         -1.9009592354157551E+001         -7.5756877823124764E+000         -1.9035168615392678E+001         -9.8999999999999986E+001         -2.0252264979364433E+001         -7.5756877823140751E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.4715159655203941E-012          3.6272649625724716E+053          9.8754272801212336E+039          0.0000000000000000E+000         -4.2285607531350989E+025         -6.7909200305596778E+037          9.9433364804268729E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.2865342562050208E-008          2.6312466894100038E-008 
                              14          5.6137385499349386E+002          2.7639794726464920E+003          1.2699547925277470E+003          1.0331960700895859E+001          1.2913683022370350E+001          5.0591347004343436E+002          4.5690517180160435E+002         -3.9258789024116225E-001         -1.0000000000000000E+000          1.9984363933830680E+000          1.5989060784522762E+000         -1.9255214283905385E+001         -7.6082040597202187E+000         -1.9280790545140512E+001         -9.8999999999999986E+001         -2.0497886909112268E+001         -7.6082040597211975E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.1252670773039301E-012          3.6273482322994631E+053          1.0021960940191774E+040          0.0000000000000000E+000         -4.2279050521526021E+025         -6.3011820866667148E+037          1.0084972761058483E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.3170687376514909E-008          2.6310633955902544E-008 
                              15          5.8837938041458040E+002          2.7641790715213506E+003          1.2700158582907964E+003          1.0331713191792883E+001          1.2913369670354387E+001          5.0593776238944656E+002          4.5692717548670356E+002         -3.9530657062617391E-001         -1.0000000000000000E+000          1.9984357749721788E+000          1.5989060784522762E+000         -1.9501428491356634E+001         -7.6401755033025651E+000         -1.9527004752591761E+001         -9.8999999999999986E+001         -2.0744101116563517E+001         -7.6401755033031629E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.2976893806900100E-012          3.6274346310438377E+053          1.0137966049817214E+040          0.0000000000000000E+000         -4.2272157394397550E+025         -5.8541085074837230E+037          1.0196507134892093E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.3482834918252976E-008          2.6308734088781588E-008 
                              16          6.1575112564429526E+002          2.7643829761915704E+003          1.2700782457117323E+003          1.0331460272704586E+001          1.2913049792214336E+001          5.0596258327578448E+002          4.5694965271324878E+002         -3.9815588417955194E-001         -1.0000000000000000E+000          1.9984351930071802E+000          1.5989060784522762E+000         -1.9754378603180449E+001         -7.6724056233709517E+000         -1.9779954864415572E+001         -9.8999999999999986E+001         -2.0997051228387328E+001         -7.6724056233713114E+000         -9.8999999999999986E+001          1.0000000000000000E+000          7.8063992484188840E-013          3.6275229628539088E+053          1.0226115035078095E+040          0.0000000000000000E+000         -4.2265015275698475E+025         -5.4355211797459523E+037          1.0280470246875597E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.3814172908698901E-008          2.6306793520562758E-008 
                              17          6.4312598925065436E+002          2.7645886475548537E+003          1.2701411778064862E+003          1.0331205094897863E+001          1.2912727371074979E+001          5.0598762355833310E+002          4.5697232356557492E+002         -4.0098405530738868E-001         -1.0000000000000000E+000          1.9984346543662321E+000          1.5989060784522762E+000         -2.0021739684811109E+001         -7.7060525980818042E+000         -2.0047315946046236E+001         -9.8999999999999986E+001         -2.1264412310017992E+001         -7.7060525980820147E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.5576046761084561E-013          3.6276121270502396E+053          1.0321303966384581E+040          0.0000000000000000E+000         -4.2257722778374230E+025         -5.0304284854856532E+037          1.0371608251239480E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.4148444155179531E-008          2.6304836428649007E-008 
                              18          6.7025608497460405E+002          2.7647938437936041E+003          1.2702039680088860E+003          1.0330950449691960E+001          1.2912405901118996E+001          5.0601260977587884E+002          4.5699494098493568E+002         -4.0382136285666742E-001         -1.0000000000000000E+000          1.9984341598848543E+000          1.5989060784522762E+000         -2.0293045276258542E+001         -7.7393013854154882E+000         -2.0318621537493666E+001         -9.8999999999999986E+001         -2.1535717901465421E+001         -7.7393013854156099E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.6343886580571820E-013          3.6277011442583992E+053          1.0397254539075046E+040          0.0000000000000000E+000         -4.2250370596144468E+025         -4.6597974368880751E+037          1.0443852513443969E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.4488811448275857E-008          2.6302884148008542E-008 
                              19          6.9716811840929097E+002          2.7649980724422580E+003          1.2702664650227680E+003          1.0330696958027467E+001          1.2912086132129671E+001          5.0603748142971199E+002          4.5701745075738199E+002         -4.0683013834201942E-001         -1.0000000000000000E+000          1.9984337054935204E+000          1.5989060784522762E+000         -2.0569485262704916E+001         -7.7725164735738996E+000         -2.0595061523940043E+001         -9.8999999999999986E+001         -2.1812157887911798E+001         -7.7725164735739689E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.5047174229051489E-013          3.6277897931170241E+053          1.0438129186848025E+040          0.0000000000000000E+000         -4.2243038564544831E+025         -4.3168083138091059E+037          1.0481297269986158E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.4855541417264749E-008          2.6300941360945220E-008 
