                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9999344735176228E+000          1.7999410261658604E+000          1.2002469190884854E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260321" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             100          1.9419398357753648E+003          1.2002471847310267E+003          7.4166541439158414E+002          1.4808614547824558E+001          1.6454011845334534E+001          2.8782156105217979E+002          2.7429445029482071E+002         -4.1107493624240116E-001         -1.0000000000000000E+000          1.9999339959950455E+000          1.7999410688511626E+000         -3.2160466161901148E+001         -1.0201889370069862E+001         -3.2186042424412243E+001         -9.8999999999999986E+001         -3.3403138766073340E+001         -1.0201889370069862E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0371628338053507E-022          3.0385475216204662E+053         -1.4326694577263345E+035          0.0000000000000000E+000         -3.6224344857645836E+026         -1.4326694541038999E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          2.2662549449620178E+003          1.2002471955491571E+003          7.4166541773399285E+002          1.4808614547824558E+001          1.6454011704445563E+001          2.8782156179559547E+002          2.7429445207628072E+002         -4.4847138455654084E-001         -1.0000000000000000E+000          1.9999339788704291E+000          1.7999410688511626E+000         -3.8804409528997510E+001         -1.0342698172143391E+001         -3.8829985791508605E+001         -9.8999999999999986E+001         -4.0047082133169710E+001         -1.0342698172143391E+001         -9.8999999999999986E+001          1.0000000000000000E+000          3.2562098120129680E-029          3.0385475092962253E+053         -1.0359462073398028E+035          0.0000000000000000E+000         -3.6224343561864222E+026         -1.0359462037173684E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             120          2.7051210478389648E+003          1.2002472060254652E+003          7.4166542097079082E+002          1.4808614547824558E+001          1.6454011568008298E+001          2.8782156251552124E+002          2.7429445380145154E+002         -4.8496871665250674E-001         -1.0000000000000000E+000          1.9999339622869035E+000          1.7999410688511626E+000         -4.7061863624472984E+001         -1.0475288717773163E+001         -4.7087439886984079E+001         -9.8999999999999986E+001         -4.8304536228645176E+001         -1.0475288717773163E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.4425801914620705E-037          3.0385474973613955E+053         -7.6339034601372981E+034          0.0000000000000000E+000         -3.6224342351260200E+026         -7.6339034239129555E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             130          3.7835499348450321E+003          1.2002472264329426E+003          7.4166542727595868E+002          1.4808614547824559E+001          1.6454011302233319E+001          2.8782156391791119E+002          2.7429445716202332E+002         -5.0725864841975199E-001         -1.0000000000000000E+000          1.9999339299827810E+000          1.7999410688511626E+000         -5.3220653825182474E+001         -1.0553543054182821E+001         -5.3246230087693569E+001         -9.8999999999999986E+001         -5.4463326429354666E+001         -1.0553543054182821E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.0291444591444803E-043          3.0385474741127691E+053         -6.3751782896959532E+034          0.0000000000000000E+000         -3.6224339987067916E+026         -6.3751782534716133E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             140          4.5886202464123144E+003          1.2002472393352550E+003          7.4166543126230374E+002          1.4808614547824559E+001          1.6454011134201210E+001          2.8782156480455052E+002          2.7429445928669298E+002         -5.3155621217071825E-001         -1.0000000000000000E+000          1.9999339095590003E+000          1.7999410688511626E+000         -6.0812467223702363E+001         -1.0632580224238978E+001         -6.0838043486213458E+001         -9.8999999999999986E+001         -6.2055139827874555E+001         -1.0632580224238978E+001         -9.8999999999999986E+001          1.0000000000000000E+000          6.2306985219262166E-051          3.0385474594141855E+053         -5.3144113867295063E+034          0.0000000000000000E+000         -3.6224338420700985E+026         -5.3144113505051683E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             150          5.4676311148880877E+003          1.2002472511277476E+003          7.4166543490575475E+002          1.4808614547824554E+001          1.6454010980622741E+001          2.8782156561492371E+002          2.7429446122860446E+002         -5.5395210629841052E-001         -1.0000000000000000E+000          1.9999338908920152E+000          1.7999410688511626E+000         -6.9038633313998645E+001         -1.0702471141737055E+001         -6.9064209576509739E+001         -9.8999999999999986E+001         -7.0281305918170844E+001         -1.0702471141737055E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3477199815752010E-059          3.0385474459799321E+053         -4.5244339989940688E+034          0.0000000000000000E+000         -3.6224337038609282E+026         -4.5244339627697317E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             160          6.5124123745807156E+003          1.2002472632435276E+003          7.4166543864908988E+002          1.4808614547824558E+001          1.6454010822833965E+001          2.8782156644751302E+002          2.7429446322375293E+002         -5.7411086493227637E-001         -1.0000000000000000E+000          1.9999338717132800E+000          1.7999410688511626E+000         -7.7630013297608485E+001         -1.0762537361723679E+001         -7.7655589560119580E+001         -9.8999999999999986E+001         -7.8872685901780685E+001         -1.0762537361723679E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.2792275429620931E-067          3.0385474321773826E+053         -3.9400165144325144E+034          0.0000000000000000E+000         -3.6224335608516722E+026         -3.9400164782081787E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             170          7.6150501374287905E+003          1.2002472744607705E+003          7.4166544211480971E+002          1.4808614547824552E+001          1.6454010676747210E+001          2.8782156721835543E+002          2.7429446507093621E+002         -5.9333224432061737E-001         -1.0000000000000000E+000          1.9999338539568894E+000          1.7999410688511626E+000         -8.7057191767972256E+001         -1.0817228184864476E+001         -8.7082768030483351E+001         -9.8999999999999986E+001         -8.8299864372144441E+001         -1.0817228184864476E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.4257546887025152E-077          3.0385474193984662E+053         -3.4738192992208360E+034          0.0000000000000000E+000         -3.6224334282359498E+026         -3.4738192629965017E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             180          8.8194192902514915E+003          1.2002472853303809E+003          7.4166544547312390E+002          1.4808614547824551E+001          1.6454010535187827E+001          2.8782156796530876E+002          2.7429446686087346E+002         -6.1156959595473415E-001         -1.0000000000000000E+000          1.9999338367507871E+000          1.7999410688511626E+000         -9.7378055113648060E+001         -1.0866935628657645E+001         -9.7403631376159154E+001         -9.8999999999999986E+001         -9.8620727717820245E+001         -1.0866935628657645E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.9060578304859531E-087          3.0385474070155807E+053         -3.0981310497530341E+034          0.0000000000000000E+000         -3.6224333002072862E+026         -3.0981310135287011E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             190          1.0139808078048958E+004          1.2002472960266107E+003          7.4166544877786930E+002          1.4808614547824554E+001          1.6454010395886431E+001          2.8782156870034714E+002          2.7429446862225950E+002         -6.2867765287778576E-001         -1.0000000000000000E+000          1.9999338198191345E+000          1.7999410688511626E+000         -9.8999999999999986E+001         -1.0911666294064704E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.0911666294064704E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.2308447955788703E-098          3.0385473948302095E+053         -2.7949183388735715E+034          0.0000000000000000E+000         -3.6224331741440621E+026         -2.7949183026492399E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
